[14672:30216:0306/003024.836:ERROR:device_event_log_impl.cc(211)] [00:30:24.836] USB: usb_device_handle_win.cc:1049 Failed to read descriptor from node connection: Присоединенное к системе устройство не работает. (0x1F)
[14672:30216:0306/003024.838:ERROR:device_event_log_impl.cc(211)] [00:30:24.838] USB: usb_device_handle_win.cc:1049 Failed to read descriptor from node connection: Присоединенное к системе устройство не работает. (0x1F)
[14672:30216:0306/003026.166:INFO:CONSOLE(1)] "Uncaught TypeError: Cannot redefine property: webdriver", source: chrome-extension://lncaoejhfdpcafpkkcddpjnhnodcajfg/js/mocking_headless.js (1)
[14672:30216:0306/003026.430:INFO:CONSOLE(1)] "Uncaught TypeError: Cannot redefine property: webdriver", source: chrome-extension://lncaoejhfdpcafpkkcddpjnhnodcajfg/js/mocking_headless.js (1)
[14672:30216:0306/003026.574:INFO:CONSOLE(250)] "Uncaught TypeError: Cannot read property 'innerHTML' of null", source: https://www.ozon.ru/_Incapsula_Resource?SWUDNSAI=30&xinfo=2-51391467-0%200NNN%20RT%281614979824366%20478%29%20q%280%20-1%20-1%200%29%20r%280%20-1%29%20B12%2811%2c1457111%2c0%29%20U12&incident_id=580000610122292255-217158515800936258&edet=12&cinfo=0b000000&rpinfo=0&cts=JAkmSYNPeCK2O5%2fQ7Tx2n4vMLhfLdgh6i8lnosjnIydaNeYpt0Gh%2bP8z8Cs6SQV4 (250)
[14672:30216:0306/003026.580:INFO:CONSOLE(1)] "Uncaught TypeError: Cannot redefine property: webdriver", source: chrome-extension://lncaoejhfdpcafpkkcddpjnhnodcajfg/js/mocking_headless.js (1)
[14672:30216:0306/003027.329:INFO:CONSOLE(1)] "Uncaught TypeError: Cannot redefine property: webdriver", source: chrome-extension://lncaoejhfdpcafpkkcddpjnhnodcajfg/js/mocking_headless.js (1)
[14672:30216:0306/003027.851:INFO:CONSOLE(1)] "Uncaught TypeError: Cannot redefine property: webdriver", source: chrome-extension://lncaoejhfdpcafpkkcddpjnhnodcajfg/js/mocking_headless.js (1)
[14672:30216:0306/003027.960:INFO:CONSOLE(1)] "Uncaught TypeError: Cannot redefine property: webdriver", source: chrome-extension://lncaoejhfdpcafpkkcddpjnhnodcajfg/js/mocking_headless.js (1)
[14672:30216:0306/003028.104:INFO:CONSOLE(1)] "Uncaught TypeError: Cannot redefine property: webdriver", source: chrome-extension://lncaoejhfdpcafpkkcddpjnhnodcajfg/js/mocking_headless.js (1)
[14672:30216:0306/003108.612:INFO:CONSOLE(1)] "Uncaught TypeError: Cannot redefine property: webdriver", source: chrome-extension://lncaoejhfdpcafpkkcddpjnhnodcajfg/js/mocking_headless.js (1)
[14672:30216:0306/003109.016:INFO:CONSOLE(1)] "Uncaught TypeError: Cannot redefine property: webdriver", source: chrome-extension://lncaoejhfdpcafpkkcddpjnhnodcajfg/js/mocking_headless.js (1)
[14672:30216:0306/003109.063:INFO:CONSOLE(250)] "Uncaught TypeError: Cannot read property 'innerHTML' of null", source: https://www.ozon.ru/_Incapsula_Resource?SWUDNSAI=30&xinfo=14-81783411-0%200NNN%20RT%281614979867642%2073%29%20q%280%20-1%20-1%20-1%29%20r%280%20-1%29%20B12%2811%2c1457111%2c0%29%20U12&incident_id=1339000100132035241-345833708814271118&edet=12&cinfo=0b000000&rpinfo=0&cts=5fAGU1HR%2btiWgrYEKul5Vr3E96%2bpAhO9fYm%2fUi%2fhz%2fANU3OGHFYgN9cgMUClYKvr (250)
